 1,'The first son of isaac is ','Esau','Jacob','John','Abram',2
 2,'The first wife of Jacob is','Leah','Rachel','Joana','Esther',2
 3,' How many books are there in the Old Testament','39 ','40','42','37',2
 4,' How many books are there in the New Testament','27','32','28','30',2
 5,'Which was the first Gospel to be written','Mark','John','Matthew','John',2
 6,'Which parable is not found in the Gospel of John','No parable In the Gospel of John','The lost coin','The Ten Virgins','The Lost Sheep',2
 7,' Which New Testament book was written first','First Thessalonians','Matthew','Peter','Luke',2
 8,'How long was Jesus'' earthly ministry','3 years','2 years','4 years','1 year',2
 9,' How many missionary journeys did Paul make','3 ','4','2','5',2
 10,' Which prophet ministered to the people of Israel during their exile','Ezekiel','Amos','Habakkuk','Jonah',2
 11,'In what city was Jesus born','Bethlehem','Nazareth','Jericho','Judea',2
 12,'What does Immanuel mean','God with us','Holy Spirit with us','God with all','Forever he is King',2
 13,'Who followed Herod as King of Judea','Archelaus','Azariah','Saul','Jonathan',2
 14,'What gifts did the wise men from the East offer to the child Jesus','Gold,frankincense and myrrh','Gold,silver and bronze','Gold,silver and brass','Gold,zinc and copper',2
 15,'What did John the Baptist eat','Locusts and wild honey','Locust',' Honey','Locust bean',2
 16,'In which river did John baptize people','Jordan','Nile','Orange','Jericho',2
 17,'In what form did the Spirit of God descend upon Jesus during his baptism','Dove','Bird','Spirit','Love',2
 18,'Who were the first people Jesus called to be his disciples','Simon Peter and Andrew','Simon Peter and John','James and John','James and Matthew',2 
 19,'How many days and nights did Jesus fast in the widerness','40 days and 40 nights','30 days and 30 nights','35 days and 35 nights ','45 days and 45 nights',2
 20,'The lamp of the body is the ______ ','Eye','Brain','Hand','Skin',2
 21,'What does the word ''Golgotha'' mean','The place of a Skull','Restaurant','Church','Shop',2
 22,'What was the name of the man who helped Jesus carry the cross on the way to Golgotha','Simon of Cyrene','Simon of Jordan','Simon Peter','Thomas',2 
 23,'Whose tomb was Jesus buried in?','Joseph of Arimathea','John of Arimathea','Joseph of nazareth','Jonathan',2
 24,'Who among the disciples denied Jesus Three times','Simon Peter','John ','Thomas','Matthew',2
 25,'Who among the disciples betrayed Jesus','Judas Iscariot','Andrew','Mark','Thomas',2
 26,'Who was the priest murdered between the temple and the altar','Zechariah','Aaron','Samuel','Joshua',2
 27,'Which group among the Jews believed that there is no resurrection','Sadducees','Pharisees','Gentiles','Nazarites',2
 28,'Who were the two people whom the disciples saw talking to Jesus during the transfiguration','Moses and Eelijah','Moses and Elisah','Elijah and Elisah','Abraham and Isaac',2
 29,'Which disciple jumped out of his boat and walked on water to reach Jesus','Peter','Andrew','John','Matthew',2
 30,'What was the profession of Matthew before he became a disciple of Jesus','Tax Collector','Doctor','Lawyer','Fisherman',2
 31,'Whose mother-in-law did Jesus heal from fever','Peter''s','John''s','Solomon''s','Thomas''s',2
 32,'Who lied to God when he was asked where his brother was','Cain','Abel','Seth','Lot',2
 33,'What was inscribed above Jesus'' cross','King of Jews','King of Gentiles','King of all','King',2
 34,'What was special about Jesus'' mother','She was a virgin','She was a beautiful','She was gentle','She was generous',2
 35,'What happened to Jonah after he was thrown overboard','He was swallowed by a great fish','He escaped','He was calm','He was happy',2
 36,'In whose images was man created','God''s','Man''s','Satan','Angel''s',2
 37,'Which of the gospels appears last in the Bible','John','Mark','Luke','Matthew',2
